Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,6.535265066498735,6.568028591842937,6.503113958780538,6.553024768829346,493729600,0.0,0.0
2010-01-05,6.571090536190617,6.601404388481512,6.529752758735203,6.564353942871094,601904800,0.0,0.0
2010-01-06,6.564353258783984,6.590380594164474,6.453201933536077,6.4599385261535645,552160000,0.0,0.0
2010-01-07,6.483824073933178,6.491479295275432,6.4011493187311155,6.447998046875,477131200,0.0,0.0
2010-01-08,6.439423852482104,6.4914785338565295,6.401455594372297,6.490865707397461,447610800,0.0,0.0
2010-01-11,6.515973859702735,6.522098035530061,6.382776306046277,6.433606147766113,462229600,0.0,0.0
2010-01-12,6.405435994737452,6.423196517521122,6.320618593076433,6.360424518585205,594459600,0.0,0.0
2010-01-13,6.365016819749292,6.458713845286522,6.249578561864374,6.450139999389648,605892000,0.0,0.0
2010-01-14,6.4336072546484795,6.444324155366624,6.4002308994707375,6.412785053253174,432894000,0.0,0.0
2010-01-15,6.4587161923502165,6.4792321882017125,6.303778171750028,6.305615425109863,594067600,0.0,0.0
2010-01-19,6.37910205402117,6.58915638736306,6.345726520906536,6.584563255310059,730007600,0.0,0.0
2010-01-20,6.5805845148126805,6.600181475293729,6.414929590645362,6.483212947845459,612152800,0.0,0.0
2010-01-21,6.493928171223731,6.531590629146884,6.344807339494565,6.371140480041504,608154400,0.0,0.0
2010-01-22,6.331641410994246,6.353687628925368,6.037075468963503,6.055140972137451,881767600,0.0,0.0
2010-01-25,6.200892229535786,6.267949909184675,6.129853426867247,6.218039512634277,1065699600,0.0,0.0
2010-01-26,6.306226332873939,6.543839062475991,6.203036413480353,6.305920124053955,1867110000,0.0,0.0
2010-01-27,6.333785392194392,6.447998439815973,6.109645403516947,6.3653244972229,1722568400,0.0,0.0
2010-01-28,6.274994873152552,6.292447959950834,6.084230847888354,6.102296352386475,1173502400,0.0,0.0
2010-01-29,6.157106537071618,6.191401108488859,5.82548973199659,5.8809123039245605,1245952400,0.0,0.0
2010-02-01,5.890405236274312,6.001556605329209,5.857641704187007,5.9626688957214355,749876400,0.0,0.0
2010-02-02,5.998800129705071,6.011354282696103,5.9213309323385985,5.9972686767578125,698342400,0.0,0.0
2010-02-03,5.976140700403201,6.130160469273473,5.953175447279636,6.10045862197876,615328000,0.0,0.0
2010-02-04,6.023909276452261,6.074126716480465,5.865909578343756,5.880607604980469,757652000,0.0,0.0
2010-02-05,5.89836551857463,6.001555436760714,5.843861166902258,5.985020160675049,850306800,0.0,0.0
2010-02-08,5.992064684452928,6.059122794635484,5.940316200795983,5.943990707397461,478270800,0.0,0.0
2010-02-09,6.014416681639725,6.047486421021386,5.963281028260343,6.007374286651611,632886800,0.0,0.0
2010-02-10,5.998188550717476,6.019929792101448,5.948278133796087,5.974611282348633,370361600,0.0,0.0
2010-02-11,5.967260802534354,6.116381223923324,5.942152088684108,6.083311080932617,550345600,0.0,0.0
2010-02-12,6.06616533125832,6.174255025515114,5.986246854934924,6.135673522949219,655468800,0.0,0.0
2010-02-16,6.183439452495934,6.237024769476445,6.170579090891199,6.228145122528076,543737600,0.0,0.0
2010-02-17,6.252335490267078,6.256009996508432,6.150369986187367,6.202118873596191,436396800,0.0,0.0
2010-02-18,6.173946012438474,6.243148381795747,6.152206005849602,6.213752746582031,422825200,0.0,0.0
2010-02-19,6.180989751259152,6.22202050371361,6.158024091413102,6.175171375274658,415469600,0.0,0.0
2010-02-22,6.195686442556806,6.2005853737712995,6.099232729677264,6.136895179748535,390563600,0.0,0.0
2010-02-23,6.12403759486205,6.164762559726879,5.992677251182758,6.0340142250061035,575094800,0.0,0.0
2010-02-24,6.069838111762576,6.168129093568125,6.057895968426129,6.144245624542236,460566400,0.0,0.0
2010-02-25,6.04381410430386,6.211612521544595,6.028810274499077,6.185279369354248,665126000,0.0,0.0
2010-02-26,6.19691235746122,6.282342575778794,6.185276830899308,6.265501499176025,507460800,0.0,0.0
2010-03-01,6.300102938329462,6.414928807132571,6.290917081413473,6.399312973022461,550093600,0.0,0.0
2010-03-02,6.428095537978748,6.45565392705457,6.3610374317178655,6.395026206970215,566546400,0.0,0.0
2010-03-03,6.39778195323727,6.42625856131152,6.367161883011943,6.409723281860352,372052800,0.0,0.0
2010-03-04,6.408191032417678,6.458407637383735,6.388287052759466,6.451977252960205,366041200,0.0,0.0
2010-03-05,6.581502549723645,6.727254691179168,6.572010075409853,6.704289436340332,899620400,0.0,0.0
2010-03-08,6.736747156759623,6.739196418872176,6.682855622635305,6.70827054977417,429889600,0.0,0.0
2010-03-09,6.68469352260357,6.889542368575032,6.67183315776814,6.828914642333984,920259200,0.0,0.0
2010-03-10,6.853714832052263,6.904238056410058,6.834424086923142,6.884640693664551,596218000,0.0,0.0
2010-03-11,6.85616437620897,6.9048495292663565,6.8380980577604635,6.904849529266357,405700400,0.0,0.0
2010-03-12,6.962109680566408,6.973133197437587,6.9125054899401075,6.938532829284668,416323600,0.0,0.0
2010-03-15,6.901177920711603,6.9048516096186345,6.744096036106652,6.854022979736328,493502800,0.0,0.0
2010-03-16,6.8644329842917795,6.888928874549158,6.813297333011814,6.872700214385986,446908000,0.0,0.0
2010-03-17,6.886479030124075,6.9339401740216875,6.836568624321332,6.862595558166504,450956800,0.0,0.0
