Date,Date,Close,Shift_1,Shift_2,Shift_3,Shift_4,Shift_5,Shift_6,Shift_7,Shift_8,Shift_9,Shift_10,Shift_11,Shift_12,Shift_13,Shift_14,Shift_15,Shift_16,Shift_17,Shift_18,Shift_19,Shift_20,Shift_21,Shift_22,Shift_23,Shift_24,Shift_25,Shift_26,Shift_27,Shift_28,Shift_29,Shift_30,Shift_31,Shift_32,Shift_33,Shift_34,Shift_35,Shift_36,Shift_37,Shift_38,Shift_39,Shift_40,Shift_41,Shift_42,Shift_43,Shift_44,Shift_45,Shift_46,Shift_47,Shift_48,Shift_49,Shift_50
2010-06-29,2010-06-29,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-06-30,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-01,2010-07-01,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-02,2010-07-02,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-06,2010-07-06,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-07,2010-07-07,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-08,2010-07-08,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-09,2010-07-09,17.399999618530273,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-12,2010-07-12,17.049999237060547,17.399999618530273,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-13,2010-07-13,18.139999389648438,17.049999237060547,17.399999618530273,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-14,2010-07-14,19.84000015258789,18.139999389648438,17.049999237060547,17.399999618530273,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-15,2010-07-15,19.889999389648438,19.84000015258789,18.139999389648438,17.049999237060547,17.399999618530273,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-16,2010-07-16,20.639999389648438,19.889999389648438,19.84000015258789,18.139999389648438,17.049999237060547,17.399999618530273,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-19,2010-07-19,21.90999984741211,20.639999389648438,19.889999389648438,19.84000015258789,18.139999389648438,17.049999237060547,17.399999618530273,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-20,2010-07-20,20.299999237060547,21.90999984741211,20.639999389648438,19.889999389648438,19.84000015258789,18.139999389648438,17.049999237060547,17.399999618530273,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-21,2010-07-21,20.219999313354492,20.299999237060547,21.90999984741211,20.639999389648438,19.889999389648438,19.84000015258789,18.139999389648438,17.049999237060547,17.399999618530273,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-22,2010-07-22,21.0,20.219999313354492,20.299999237060547,21.90999984741211,20.639999389648438,19.889999389648438,19.84000015258789,18.139999389648438,17.049999237060547,17.399999618530273,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-23,2010-07-23,21.290000915527344,21.0,20.219999313354492,20.299999237060547,21.90999984741211,20.639999389648438,19.889999389648438,19.84000015258789,18.139999389648438,17.049999237060547,17.399999618530273,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-26,2010-07-26,20.950000762939453,21.290000915527344,21.0,20.219999313354492,20.299999237060547,21.90999984741211,20.639999389648438,19.889999389648438,19.84000015258789,18.139999389648438,17.049999237060547,17.399999618530273,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-27,2010-07-27,20.549999237060547,20.950000762939453,21.290000915527344,21.0,20.219999313354492,20.299999237060547,21.90999984741211,20.639999389648438,19.889999389648438,19.84000015258789,18.139999389648438,17.049999237060547,17.399999618530273,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-28,2010-07-28,20.719999313354492,20.549999237060547,20.950000762939453,21.290000915527344,21.0,20.219999313354492,20.299999237060547,21.90999984741211,20.639999389648438,19.889999389648438,19.84000015258789,18.139999389648438,17.049999237060547,17.399999618530273,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-29,2010-07-29,20.350000381469727,20.719999313354492,20.549999237060547,20.950000762939453,21.290000915527344,21.0,20.219999313354492,20.299999237060547,21.90999984741211,20.639999389648438,19.889999389648438,19.84000015258789,18.139999389648438,17.049999237060547,17.399999618530273,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-30,2010-07-30,19.940000534057617,20.350000381469727,20.719999313354492,20.549999237060547,20.950000762939453,21.290000915527344,21.0,20.219999313354492,20.299999237060547,21.90999984741211,20.639999389648438,19.889999389648438,19.84000015258789,18.139999389648438,17.049999237060547,17.399999618530273,17.459999084472656,15.800000190734863,16.110000610351562,19.200000762939453,21.959999084472656,23.829999923706055,23.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
